iter	Passed	Remaining
772	6424	1886
773	6431	1877
774	6440	1869
775	6448	1861
776	6457	1853
777	6464	1844
778	6472	1836
779	6479	1827
780	6488	1819
781	6495	1810
782	6504	1802
783	6511	1794
784	6519	1785
785	6527	1777
786	6535	1768
787	6542	1760
788	6551	1752
789	6558	1743
790	6567	1735
791	6575	1726
792	6583	1718
793	6590	1709
794	6598	1701
795	6607	1693
796	6614	1684
797	6622	1676
798	6630	1667
799	6637	1659
800	6645	1650
801	6653	1642
802	6660	1634
803	6669	1625
804	6677	1617
805	6685	1609
806	6692	1600
807	6702	1592
808	6709	1584
809	6716	1575
810	6723	1566
811	6733	1558
812	6740	1550
813	6749	1542
814	6757	1533
815	6765	1525
816	6773	1517
817	6781	1508
818	6788	1500
819	6798	1492
820	6805	1483
821	6813	1475
822	6820	1466
823	6828	1458
824	6836	1450
825	6845	1442
826	6853	1433
827	6860	1425
828	6868	1416
829	6876	1408
830	6884	1399
831	6891	1391
832	6899	1383
833	6906	1374
834	6914	1366
835	6920	1357
836	6929	1349
837	6936	1340
838	6943	1332
839	6953	1324
840	6960	1315
841	6967	1307
842	6976	1299
843	6983	1290
844	6992	1282
845	7000	1274
846	7008	1265
847	7015	1257
848	7023	1249
849	7031	1240
850	7040	1232
851	7049	1224
852	7058	1216
853	7065	1207
854	7074	1199
855	7081	1191
856	7088	1182
857	7096	1174
858	7103	1166
859	7110	1157
860	7118	1149
861	7125	1140
862	7133	1132
863	7141	1124
864	7148	1115
865	7156	1107
866	7163	1098
867	7171	1090
868	7179	1082
869	7187	1073
870	7195	1065
871	7202	1057
872	7211	1049
873	7219	1040
874	7226	1032
875	7235	1024
876	7241	1015
877	7249	1007
878	7257	999
879	7265	990
880	7273	982
881	7281	974
882	7289	965
883	7297	957
884	7305	949
885	7312	940
886	7320	932
887	7327	924
888	7335	915
889	7343	907
890	7353	899
891	7360	891
892	7369	883
893	7377	874
894	7385	866
895	73896	741896	7399	849
897	7407	841
898	74899	744899	74900	745900	74901	746901	7440	808
902	7449	800
903	7456	791
904	7465	783
905	7473	775
906	7481	767
907	7489	758
908	7497	750
909	7505	742
910	7513	733
911	7520	725
912	7528	717
913	7536	709
914	7543	700
915	7551	692
916	7558	684
917	7566	675
918	7573	667
919	75920	760920	75921	761921	75922	762922	76923	763923	76924	764924	76925	764925	76926	765926	76927	766927	76928	767928	76929	768929	76930	769930	76931	769931	76932	770932	7687	552
933	76934	772934	7702	535
935	7710	527
936	7718	518
937	7726	510
938	7733	502
939	7742	494
940	7750	485
941	7759	477
942	7767	469
943	7776	461
944	77945	781945	7793	444
946	7801	436
947	7810	428
948	78949	784949	78950	785950	78951	786951	78952	787952	78953	788953	78954	789954	78955	789955	78956	790956	78957	791957	78958	792958	79959	793959	79960	793960	79961	794961	79962	795962	79963	796963	79964	797964	79965	798965	79966	799966	79967	800967	79968	800968	79969	801969	79970	802970	79971	803971	80972	804972	80973	805973	80974	805974	80975	806975	80976	807976	80977	808977	80978	809978	80979	809979	80980	810980	80981	811981	80982	812982	80983	812983	81984	813984	81985	814985	81986	815986	81987	815987	8988	816988	8989	817989	8990	818990	8991	819991	8992	819992	8993	820993	8994	821994	8995	822995	8996	823996	8997	824997	8998	824998	999	825999	8228	0
0
